block,name,gate_mean,gate_std,gate_sat,temp_0,attn_entropy_0
0,encoder.layers.2.tra,0.4957578778266907,0.19775962829589844,0.0011467889416962862,1.478561282157898,2.856135845184326
1,encoder.layers.3.tra,0.3168087899684906,0.12416853755712509,0.013761468231678009,1.1976354122161865,3.194896936416626
2,encoder.layers.4.tra,0.2755180895328522,0.11809931695461273,0.010321101173758507,1.8189924955368042,3.2830145359039307
3,decoder.layers.0.tra,0.799737274646759,0.2149297446012497,0.18692660331726074,1.366706132888794,2.8894684314727783
4,decoder.layers.1.tra,0.5861136317253113,0.3120180070400238,0.18577980995178223,0.7738685011863708,2.6387178897857666
5,decoder.layers.2.tra,0.588857114315033,0.2763793170452118,0.10206422209739685,1.5544960498809814,2.5107133388519287
