id,snr_db,sisdr_noisy,sisdr_enh,stoi_noisy,stoi_enh,pause_resid_db,pause_resid_db_noisy,speech_lsd_db,pesq_enh,pesq_noisy
00000_snr-5,-5.0,-6.050548182058839,-2.2422612223126928,0.8367707545400914,0.8456659182453362,39.71072599545085,44.70934338717314,11.955297355736663,1.4404668807983398,1.387115716934204
00001_snr-5,-5.0,-5.070439647877202,-0.9934354951010207,0.7211205922735272,0.6842241550446423,nan,nan,14.381378624981645,1.1022897958755493,1.047074794769287
00002_snr-5,-5.0,-6.320000471455734,-4.276436471315587,0.8690641054133231,0.83107655548099,19.830903789964893,24.92509477120381,13.888536376285305,1.1815836429595947,1.1859756708145142
00003_snr-5,-5.0,-5.84597314050182,-22.49852124834848,0.6296379484381658,0.3119914726775642,27.928500059329018,32.3390572654379,25.950105941256798,1.0361156463623047,1.0513668060302734
00004_snr-5,-5.0,-5.037695175966562,1.2021913329370502,0.8176554157623133,0.748683828394839,22.014775328296594,39.62188654556524,14.3796458755698,1.328566074371338,1.4040312767028809
00005_snr-5,-5.0,-5.423223940557107,4.204090088986729,0.5947395354385446,0.5379086285751037,6.0065049486675415,38.73099664034092,18.64646036254064,1.061964988708496,1.0599335432052612
00006_snr-5,-5.0,-6.074347969273305,-3.859189946906551,0.7746169554963671,0.7490438063637674,33.84847451445947,40.17966500125317,12.147354124339508,1.1371572017669678,1.1427713632583618
00007_snr-5,-5.0,-6.2573618468466305,-9.266447930953177,0.6582136125882482,0.4933727467424935,33.63008700363615,41.38798315434648,19.393685881155363,1.099274754524231,1.0789083242416382
00008_snr-5,-5.0,-4.973088783243822,-2.665992882823386,0.6819675216843508,0.5257220091079019,30.639807921246334,38.08632285650878,16.965095507294723,1.0527687072753906,1.0949047803878784
00009_snr-5,-5.0,-6.365221520858846,2.405207333824517,0.8177560606941928,0.6465560981049214,4.012117064309055,41.98865078250855,18.20403801196617,1.1151050329208374,1.0943057537078857
00010_snr-5,-5.0,-5.811128766434379,-0.24199865134509568,0.638271678899934,0.6023140590339475,17.620889662988276,42.175507425609396,17.806806736279015,1.04539954662323,1.041823148727417
00011_snr-5,-5.0,-5.625983691231945,-21.41390196422985,0.5334552871839353,0.15990182942748496,26.084427471140206,34.357897768042605,20.238299281243258,1.086599349975586,1.101860523223877
00012_snr-5,-5.0,-6.450401531454055,0.6809707286003386,0.6025660677649927,0.5689824544192565,20.747481374352134,42.393623826490696,17.893603884193766,1.0617023706436157,1.0497055053710938
00013_snr-5,-5.0,-4.777352708299811,-8.022154309171064,0.4438688015333131,0.33686201802855664,nan,nan,17.91993177024906,1.0365227460861206,1.0702627897262573
00014_snr-5,-5.0,-5.229531521526578,-7.444196440534294,0.7371759328771191,0.5098318081529695,-1.2227260620838591,33.79345025237343,24.733225682478906,1.3059134483337402,1.1082446575164795
00015_snr-5,-5.0,-5.356390368871082,0.9910140010648755,0.8465438452844346,0.8002194845822418,25.386616444593443,42.72517711801464,12.947831121348345,1.1478577852249146,1.0704141855239868
00016_snr-5,-5.0,-6.005529132046989,-10.465696562890317,0.5622218899452391,0.30986932310309145,23.152761732135744,38.60321467913326,17.820189108244342,1.0836833715438843,1.047783613204956
00017_snr-5,-5.0,-5.881710929340224,-5.263753066037269,0.5350784710251858,0.4345066986352495,12.291074302784263,44.56334596922635,21.74528942625872,1.0776243209838867,1.0453044176101685
00018_snr-5,-5.0,-5.468904874607774,-8.914203602238041,0.663084419802249,0.4307666947041091,23.319862135912164,35.82463100041722,18.625966049132366,1.029725432395935,1.0690419673919678
00019_snr-5,-5.0,-5.1103657108360245,-3.2491468895154227,0.5274917707640775,0.5098199572188583,33.646099042295546,38.666377660567434,16.20827613407773,1.0955348014831543,1.0718412399291992
00020_snr-5,-5.0,-5.248945471976589,-10.832576315049964,0.8027176344220724,0.5366767206020062,26.85235301051304,27.915057222986782,14.70215490343967,1.0596575736999512,1.2436517477035522
00021_snr-5,-5.0,-5.5623419902810145,-5.973151320980948,0.8513365721261472,0.7538495456749155,9.93872770900118,15.804298138001283,14.3812516221586,1.349440574645996,1.5202741622924805
00022_snr-5,-5.0,-5.539835541488997,-1.3751486784124365,0.7690714259207942,0.7826991131480243,38.06184310642577,41.14857460917296,12.367663397219545,1.5345873832702637,1.2731256484985352
00023_snr-5,-5.0,-5.388742454272929,-3.7671050758552562,0.6525701967607718,0.48789886988071174,32.80689457351749,40.755744766412924,14.326116441974008,1.046909213066101,1.0589152574539185
00024_snr-5,-5.0,-5.374868419925396,-2.423413745781695,0.6435521224348992,0.7324366904325884,-3.9066177867305303,34.530426220361036,14.40116847008412,1.053639531135559,1.045608401298523
00025_snr-5,-5.0,-5.841623447415907,-8.295615066148589,0.6635987474128542,0.5507410875812359,27.073838119697513,43.432055517225265,12.667436181291455,1.0515278577804565,1.0382686853408813
00026_snr-5,-5.0,-5.906248826637047,-5.038327010075192,0.9415832473415489,0.9422923773251222,43.987891956980675,44.25710671837871,12.539548641265414,1.407995343208313,1.4008573293685913
00027_snr-5,-5.0,-5.147168970092524,-5.3392086668476235,0.549611821244896,0.5007475881916417,27.9088975140305,35.563032374112964,22.290088023259283,1.036440372467041,1.028411626815796
00028_snr-5,-5.0,-5.507291180050167,4.624785910476885,0.794900523690066,0.7297529106105014,0.907623493610842,36.31874945749535,18.165308765353533,1.256681203842163,1.1030718088150024
00029_snr-5,-5.0,-4.8920525709397165,1.142689475387139,0.6753239406051059,0.6400812647351356,nan,nan,17.17965031778195,1.1090459823608398,1.0441081523895264
00030_snr-5,-5.0,-5.1032017046367,3.777708566482179,0.8899563382960909,0.824617254786556,nan,nan,15.407818157258147,1.2793043851852417,1.2456226348876953
00031_snr-5,-5.0,-7.13361401455924,-21.29907475673771,0.5688210484677471,0.2635179155374902,39.87536133250674,43.40747188406257,21.586634316908142,1.0948892831802368,1.0849578380584717
00032_snr-5,-5.0,-5.970227275856431,-10.911395669317676,0.8273111988604759,0.420885663378774,32.903325250783304,42.93728036628475,23.01012140083394,1.1080416440963745,1.0845810174942017
00033_snr-5,-5.0,-5.04454165936949,2.3889905370937825,0.5197545076114007,0.5283757260448027,nan,nan,18.236237893065724,1.0848801136016846,1.0582841634750366
00034_snr-5,-5.0,-6.213307732598397,7.5520794504990985,0.761674694749516,0.8000481366583491,7.407759573635239,44.77386508595549,16.226187807650458,1.4071323871612549,1.0525014400482178
00035_snr-5,-5.0,-5.175866507676291,-7.116363537568184,0.7452414126836503,0.5453022650918198,40.2822330130208,41.154387089248544,13.338600103740445,1.0465328693389893,1.1038445234298706
00036_snr-5,-5.0,-5.073958240219075,-2.884630662382743,0.47911491800294703,0.48370249620114775,nan,nan,17.359874955225937,1.0539759397506714,1.0346837043762207
00037_snr-5,-5.0,-6.516404159527466,4.673611853286966,0.8327868748073892,0.8426520948479727,26.067867493578404,41.22519622618359,9.565816659198834,1.208380937576294,1.103332281112671
00038_snr-5,-5.0,-5.399228843656852,-4.990598915971298,0.7983578241344715,0.6866013294471451,30.523651450935496,37.044466979337855,17.75889888429483,1.055174469947815,1.1007647514343262
00039_snr-5,-5.0,-5.139185948487913,4.515029335639446,0.8523898649608354,0.8101555060665959,16.24320575144306,32.23784301112517,11.256937750004443,1.5556519031524658,1.311154842376709
00040_snr-5,-5.0,-5.5295813603921875,10.205465261071382,0.8807497327082268,0.8432569470434745,17.291846978514485,48.784277295721594,11.585310479192797,1.404013752937317,1.3853371143341064
00041_snr-5,-5.0,-6.220257950820721,-1.5761987527007462,0.7310622876730825,0.7215744500002883,22.955442400094917,39.449780190581144,12.34827183448852,1.5225598812103271,1.3411282300949097
00042_snr-5,-5.0,-6.856291000262139,3.8495113941119263,0.5906619474605687,0.516567359280549,6.91611334688746,41.108842543856916,18.072263305526207,1.1649256944656372,1.0437195301055908
00043_snr-5,-5.0,-5.541699454603978,-10.148365642404755,0.5582329243440757,0.33163914362788416,30.369585164220375,39.12796246263127,17.902314896067363,1.0508522987365723,1.0534772872924805
00044_snr-5,-5.0,-6.824234636702843,4.91777850663235,0.4531383703589911,0.4765094132258956,24.35407326843087,52.71629412008235,14.851072014668048,1.0988653898239136,1.044822096824646
00045_snr-5,-5.0,-6.334694473663784,1.8093655753653164,0.7953471105750668,0.7924019211651689,23.851820820192664,37.04916167015526,11.893108481592227,1.2115075588226318,1.1070536375045776
00046_snr-5,-5.0,-5.581081972889221,-4.636315171960879,0.5706082799393768,0.4282509359747313,10.883010614567239,44.60390842343699,20.695335756383678,1.0488961935043335,1.035876989364624
00047_snr-5,-5.0,-5.097502158200333,1.8728786232841064,0.5267907096530784,0.4281068256604632,16.847529221569527,38.76759495443639,19.507754826591693,1.062719702720642,1.0372997522354126
00048_snr-5,-5.0,-5.209390823116196,-15.213005957019412,0.5553777169425741,0.20821471375915143,42.72804324323039,47.08390570181014,19.93817335746969,1.2587343454360962,1.0415316820144653
