id,snr_db,sisdr_noisy,sisdr_enh,stoi_noisy,stoi_enh,pause_resid_db,pause_resid_db_noisy,speech_lsd_db,pesq_enh,pesq_noisy
00000_snr-5,-5.0,-6.050548182058839,-5.958786648929745,0.8367707545400914,0.6971585446832634,39.344332414700695,44.70934338717314,23.058442198046645,1.1402469873428345,1.387115716934204
00001_snr-5,-5.0,-5.070439647877202,-6.187701410114847,0.7211205922735272,0.5740501958760225,nan,nan,28.867552941565695,1.0823113918304443,1.047074794769287
00002_snr-5,-5.0,-6.320000471455734,-12.642262802780536,0.8690641054133231,0.5539708597400725,8.28460030018596,24.92509477120381,32.73896917578241,1.0984266996383667,1.1859756708145142
00003_snr-5,-5.0,-5.84597314050182,-18.16388883959143,0.6296379484381658,0.440337977755075,23.066192623459877,32.3390572654379,27.8061643151034,1.0366790294647217,1.0513668060302734
00004_snr-5,-5.0,-5.037695175966562,-0.9607016622460103,0.8176554157623133,0.6846926535038255,21.47526610790226,39.62188654556524,26.264279507545208,1.2335478067398071,1.4040312767028809
00005_snr-5,-5.0,-5.423223940557107,-0.0018320550871833644,0.5947395354385446,0.5484478110419473,31.633622521213326,38.73099664034092,18.283875646566692,1.0416630506515503,1.0599335432052612
00006_snr-5,-5.0,-6.074347969273305,-4.670559846658446,0.7746169554963671,0.643488403237865,32.57343456056519,40.17966500125317,27.65061720317644,1.4643135070800781,1.1427713632583618
00007_snr-5,-5.0,-6.2573618468466305,-15.034539217715858,0.6582136125882482,0.4541146390408942,20.58469070964305,41.38798315434648,30.324875188230976,1.0610756874084473,1.0789083242416382
00008_snr-5,-5.0,-4.973088783243822,-4.176752397673736,0.6819675216843508,0.4757895507825116,14.348047682438398,38.08632285650878,30.042633019047514,1.0300321578979492,1.0949047803878784
00009_snr-5,-5.0,-6.365221520858846,-3.756326598118771,0.8177560606941928,0.6157893159221536,5.236219245895477,41.98865078250855,20.2877979458877,1.1016241312026978,1.0943057537078857
00010_snr-5,-5.0,-5.811128766434379,-2.340859380631404,0.638271678899934,0.5440668418204135,14.72412527750591,42.175507425609396,28.53160049877944,1.0549111366271973,1.041823148727417
00011_snr-5,-5.0,-5.625983691231945,-12.672147091963009,0.5334552871839353,0.3345333082886464,18.153705729526422,34.357897768042605,23.713221514607834,1.0614352226257324,1.101860523223877
00012_snr-5,-5.0,-6.450401531454055,-6.80271036951959,0.6025660677649927,0.5115855308936385,22.34696128163877,42.393623826490696,24.491928618938957,1.6568081378936768,1.0497055053710938
00013_snr-5,-5.0,-4.777352708299811,-12.835851201917645,0.4438688015333131,0.33715489634738777,nan,nan,28.21468115859735,2.24407696723938,1.0702627897262573
00014_snr-5,-5.0,-5.229531521526578,-6.431768105889024,0.7371759328771191,0.5700680210483116,-0.19681275669795428,33.79345025237343,30.07603395947695,1.0563706159591675,1.1082446575164795
00015_snr-5,-5.0,-5.356390368871082,-2.6750169566869393,0.8465438452844346,0.7091882314182487,29.307261199729385,42.72517711801464,18.161393285108243,1.1270896196365356,1.0704141855239868
00016_snr-5,-5.0,-6.005529132046989,-6.752230313306866,0.5622218899452391,0.37602014765412095,23.265461175401402,38.60321467913326,23.61064259071128,1.4837275743484497,1.047783613204956
00017_snr-5,-5.0,-5.881710929340224,-4.388577997833906,0.5350784710251858,0.419511516053898,13.522434737753645,44.56334596922635,21.46446039739179,1.0856887102127075,1.0453044176101685
00018_snr-5,-5.0,-5.468904874607774,-4.855429762910936,0.663084419802249,0.5254216055110623,18.009963989030325,35.82463100041722,16.16433982301539,1.0345957279205322,1.0690419673919678
00019_snr-5,-5.0,-5.1103657108360245,-6.772750784691093,0.5274917707640775,0.4694473444244414,26.3751320853994,38.666377660567434,26.040790669486018,1.1216235160827637,1.0718412399291992
00020_snr-5,-5.0,-5.248945471976589,-17.236166774674253,0.8027176344220724,0.46473246955920755,24.496734267761692,27.915057222986782,27.237418237058982,1.6120679378509521,1.2436517477035522
00021_snr-5,-5.0,-5.5623419902810145,-3.9403179569148667,0.8513365721261472,0.7461959577210721,12.595183717578585,15.804298138001283,19.368946755165343,1.2593955993652344,1.5202741622924805
00022_snr-5,-5.0,-5.539835541488997,0.010703683519375427,0.7690714259207942,0.7121152965227026,33.13140263914232,41.14857460917296,22.233885106294967,1.3931756019592285,1.2731256484985352
00023_snr-5,-5.0,-5.388742454272929,-2.5301502489754943,0.6525701967607718,0.45806961406955393,14.972040106113711,40.755744766412924,29.601880192478223,1.05864417552948,1.0589152574539185
00024_snr-5,-5.0,-5.374868419925396,-10.456643278186181,0.6435521224348992,0.5250264647358864,-1.9558497863084476,34.530426220361036,23.283916587527585,1.05130136013031,1.045608401298523
00025_snr-5,-5.0,-5.841623447415907,-7.401435776873867,0.6635987474128542,0.4947658670566039,8.396903426008466,43.432055517225265,21.892201006449387,1.0579910278320312,1.0382686853408813
00026_snr-5,-5.0,-5.906248826637047,-8.85967991846394,0.9415832473415489,0.8283495724925272,44.172136125827244,44.25710671837871,21.803864636405198,1.1774137020111084,1.4008573293685913
00027_snr-5,-5.0,-5.147168970092524,-22.144129611577487,0.549611821244896,0.4365094528377449,25.68841427123207,35.563032374112964,25.72994576645322,1.0302443504333496,1.028411626815796
00028_snr-5,-5.0,-5.507291180050167,-1.819002977329336,0.794900523690066,0.6152650488265603,1.148389888560038,36.31874945749535,32.211942862022006,1.1279058456420898,1.1030718088150024
00029_snr-5,-5.0,-4.8920525709397165,1.234341995931872,0.6753239406051059,0.6408602494905616,nan,nan,17.379725412208376,1.0964019298553467,1.0441081523895264
00030_snr-5,-5.0,-5.1032017046367,-1.7457944085797938,0.8899563382960909,0.6574925164979856,nan,nan,24.225348335894374,1.0699636936187744,1.2456226348876953
00031_snr-5,-5.0,-7.13361401455924,-11.064430012134668,0.5688210484677471,0.3125265416830982,38.91704557629775,43.40747188406257,19.48118866297925,1.090285062789917,1.0849578380584717
00032_snr-5,-5.0,-5.970227275856431,-35.53209845125462,0.8273111988604759,0.5513456454470576,9.031251317254867,42.93728036628475,31.817171065517933,1.037147879600525,1.0845810174942017
00033_snr-5,-5.0,-5.04454165936949,2.66211792272039,0.5197545076114007,0.5853307446165851,nan,nan,16.061603165910498,1.0729374885559082,1.0582841634750366
00034_snr-5,-5.0,-6.213307732598397,1.1721328081884388,0.761674694749516,0.6812251897585305,8.127646063441958,44.77386508595549,25.77420099041259,1.133487343788147,1.0525014400482178
00035_snr-5,-5.0,-5.175866507676291,-6.416671252085364,0.7452414126836503,0.6202829020535869,40.95758202381048,41.154387089248544,15.573940044939702,1.0868549346923828,1.1038445234298706
00036_snr-5,-5.0,-5.073958240219075,-4.306612830172792,0.47911491800294703,0.3419480543315047,nan,nan,17.555917623211222,1.1304333209991455,1.0346837043762207
00037_snr-5,-5.0,-6.516404159527466,4.235737463886762,0.8327868748073892,0.8444812153117459,26.45634255893592,41.22519622618359,8.746757317893872,1.220503807067871,1.103332281112671
00038_snr-5,-5.0,-5.399228843656852,-10.769083644543766,0.7983578241344715,0.6257949376084602,32.77314486215126,37.044466979337855,25.092437587561033,1.1990900039672852,1.1007647514343262
00039_snr-5,-5.0,-5.139185948487913,-1.7518775515488414,0.8523898649608354,0.7370501842734442,10.008850423781194,32.23784301112517,23.139402973762493,1.1889543533325195,1.311154842376709
00040_snr-5,-5.0,-5.5295813603921875,12.00812986491021,0.8807497327082268,0.846361269530761,23.502891476051133,48.784277295721594,16.319624278087662,1.4117146730422974,1.3853371143341064
00041_snr-5,-5.0,-6.220257950820721,-1.9208931525159185,0.7310622876730825,0.7343726995706001,22.725864522717814,39.449780190581144,12.033789393654136,1.4694103002548218,1.3411282300949097
00042_snr-5,-5.0,-6.856291000262139,3.6465853376948374,0.5906619474605687,0.5444382067024834,10.405997984301843,41.108842543856916,14.622564793044488,1.2099248170852661,1.0437195301055908
00043_snr-5,-5.0,-5.541699454603978,-8.086115487470222,0.5582329243440757,0.4002752431015493,-0.8750059358686536,39.12796246263127,28.166184618541333,1.0484280586242676,1.0534772872924805
00044_snr-5,-5.0,-6.824234636702843,4.40944108265963,0.4531383703589911,0.42546740346873074,17.988377756329733,52.71629412008235,14.478745399380598,1.0856680870056152,1.044822096824646
00045_snr-5,-5.0,-6.334694473663784,-0.9485747155042867,0.7953471105750668,0.6825511236953086,8.273775020895748,37.04916167015526,23.45797780087124,1.1286438703536987,1.1070536375045776
00046_snr-5,-5.0,-5.581081972889221,-7.724489847375907,0.5706082799393768,0.4170358739035735,25.219187409544375,44.60390842343699,25.12383498299468,1.2304999828338623,1.035876989364624
00047_snr-5,-5.0,-5.097502158200333,-0.36475624776884075,0.5267907096530784,0.40052173555136683,23.345001284920244,38.76759495443639,23.200039126170275,1.1420115232467651,1.0372997522354126
00048_snr-5,-5.0,-5.209390823116196,-15.848891540213634,0.5553777169425741,0.36654393179929823,34.09665870092851,47.08390570181014,27.4916716831045,1.1165883541107178,1.0415316820144653
00049_snr-5,-5.0,-5.490308814188078,-9.554188092163436,0.5051525224623731,0.2894941192677006,16.525339724659467,30.839150494007708,28.86728092465652,1.1504685878753662,1.0420804023742676
00050_snr-5,-5.0,-5.8906801769943264,-15.091438976561125,0.8465505711707301,0.5736877810593349,18.119127151593645,44.43099254308355,27.742090038826383,2.9767348766326904,1.3577468395233154
00051_snr-5,-5.0,-5.509366593561697,-11.8607503202018,0.5808070492345448,0.4048013289128493,21.28712737165754,39.25999111220487,26.634635610947495,1.0685244798660278,1.045376181602478
00052_snr-5,-5.0,-5.49213982231077,-2.830591199911117,0.8936767142285297,0.7101298894574092,20.07315447362081,44.707342936899224,24.878398505311754,1.0996915102005005,1.4268720149993896
00053_snr-5,-5.0,-6.054243319785622,-3.2377625697099646,0.5891891248372602,0.4908844758472241,18.368210324925343,44.52153613449784,20.249864606476482,1.0454448461532593,1.0539075136184692
00054_snr-5,-5.0,-6.262764350818739,-4.169739963700431,0.6726654337025958,0.5490654547416821,5.220655322131542,41.41168422558553,27.85836947260849,1.0708035230636597,1.0771019458770752
00055_snr-5,-5.0,-6.132507416620213,-5.8411493245358725,0.643453042272001,0.5410030257736163,3.1798868366046507,40.20707806022451,29.512147435193455,1.0672506093978882,1.0517971515655518
00056_snr-5,-5.0,-5.19217130393876,-11.11416669746263,0.6716809815966979,0.4806323407714926,19.90811901974887,41.53687797552073,26.362977045762552,2.82025146484375,1.0918762683868408
00057_snr-5,-5.0,-5.303979488265225,-5.314935474182672,0.9257462857607466,0.8534697585811551,6.572990805763733,19.28727528859808,15.338768602781558,1.0414541959762573,1.042741060256958
00058_snr-5,-5.0,-5.014515434602956,5.712814134175854,0.3596424098161544,0.5521467693856007,nan,nan,18.01077923046386,1.217822551727295,1.151836633682251
00059_snr-5,-5.0,-6.996102271741112,4.215658170005639,0.5563205749919417,0.469206897976883,20.40081408751702,43.42432953395705,15.751324359020556,1.2041442394256592,1.141396164894104
00060_snr-5,-5.0,-5.3910293797322995,-3.9966391718298007,0.9316832130989307,0.7846649774447062,-4.1121200536328235,42.916860860047336,22.360507592717713,1.129688024520874,1.2391223907470703
00061_snr-5,-5.0,-6.31475165504458,-3.835804970329188,0.6263810079740187,0.4559397258615629,13.924480388023833,42.52400654180931,22.9840740224824,1.1133031845092773,1.0701959133148193
00062_snr-5,-5.0,-5.664167306634487,-10.325197699641404,0.7472765493071851,0.5085491637753977,33.28773797642497,44.842621485337915,25.798080986336235,1.633188009262085,1.0544376373291016
