id,snr_db,sisdr_noisy,sisdr_enh,stoi_noisy,stoi_enh,pause_resid_db,pause_resid_db_noisy,speech_lsd_db,pesq_enh,pesq_noisy
00000_snr-5,-5.0,-6.050548182058839,-3.4056609068539516,0.8367707545400914,0.6389166089029057,38.03837355725002,44.70934338717314,22.15786297948691,1.1494364738464355,1.387115716934204
00001_snr-5,-5.0,-5.070439647877202,-4.476166509308342,0.7211205922735272,0.5193428211521004,nan,nan,26.493411155968452,1.0591797828674316,1.047074794769287
00002_snr-5,-5.0,-6.320000471455734,-11.4957582478256,0.8690641054133231,0.6088807677685719,12.832216020483296,24.92509477120381,35.047878102349365,1.0866695642471313,1.1859756708145142
00003_snr-5,-5.0,-5.84597314050182,-12.553593346221534,0.6296379484381658,0.41996896626132857,21.910543844685776,32.3390572654379,27.861172897843474,1.045421838760376,1.0513668060302734
00004_snr-5,-5.0,-5.037695175966562,-2.6491876713901052,0.8176554157623133,0.598750573808133,-1.6368408115109463,39.62188654556524,24.323659873956533,1.0976613759994507,1.4040312767028809
00005_snr-5,-5.0,-5.423223940557107,-1.2263627217764144,0.5947395354385446,0.5175001459331101,27.706769658044227,38.73099664034092,19.562648627211605,1.0371640920639038,1.0599335432052612
00006_snr-5,-5.0,-6.074347969273305,-4.910669205693819,0.7746169554963671,0.5785537213211877,8.56414251590802,40.17966500125317,29.188178854297316,1.0585451126098633,1.1427713632583618
00007_snr-5,-5.0,-6.2573618468466305,-19.21843037295305,0.6582136125882482,0.3969631452580536,21.158286535517522,41.38798315434648,30.651933901591967,2.8021798133850098,1.0789083242416382
00008_snr-5,-5.0,-4.973088783243822,-5.386183531836589,0.6819675216843508,0.42308705482896475,12.270873851807275,38.08632285650878,26.615860045591564,1.0428787469863892,1.0949047803878784
00009_snr-5,-5.0,-6.365221520858846,-4.378955105811385,0.8177560606941928,0.4783664188361815,6.098672044968253,41.98865078250855,24.171089146119442,1.0587823390960693,1.0943057537078857
00010_snr-5,-5.0,-5.811128766434379,-7.888914506555421,0.638271678899934,0.3630857135759704,19.69447373196004,42.175507425609396,27.016768685973947,1.043249249458313,1.041823148727417
00011_snr-5,-5.0,-5.625983691231945,-26.506313157281053,0.5334552871839353,0.33630540625356675,19.5136857655916,34.357897768042605,27.11128939839164,1.4387171268463135,1.101860523223877
00012_snr-5,-5.0,-6.450401531454055,-7.144022951029514,0.6025660677649927,0.49513244987023836,24.14787552220065,42.393623826490696,26.246313288158536,1.7093415260314941,1.0497055053710938
00013_snr-5,-5.0,-4.777352708299811,-12.741261409474681,0.4438688015333131,0.313241254133362,nan,nan,26.8130228223573,1.9504146575927734,1.0702627897262573
00014_snr-5,-5.0,-5.229531521526578,-9.348610300553641,0.7371759328771191,0.5010985370858434,-3.1823155821721687,33.79345025237343,31.132362639226123,1.0495742559432983,1.1082446575164795
00015_snr-5,-5.0,-5.356390368871082,-5.783720435855847,0.8465438452844346,0.5827542751044206,9.18689995770489,42.72517711801464,25.367154331897957,1.053970456123352,1.0704141855239868
00016_snr-5,-5.0,-6.005529132046989,-6.024901227612894,0.5622218899452391,0.3178313374737352,16.60579926644366,38.60321467913326,23.59707781201166,1.1268583536148071,1.047783613204956
00017_snr-5,-5.0,-5.881710929340224,-11.217084017575527,0.5350784710251858,0.2988805433585927,9.435587156656556,44.56334596922635,27.151505169281474,1.078220248222351,1.0453044176101685
00018_snr-5,-5.0,-5.468904874607774,0.9598891382787853,0.663084419802249,0.6067778339839075,14.481427975591885,35.82463100041722,15.008325152085606,1.068427324295044,1.0690419673919678
