block,name,gate_mean,gate_std,gate_sat,temp_0,attn_entropy_0
0,encoder.layers.2.tra,0.40053591132164,0.21232128143310547,0.09977064281702042,1.1035054922103882,3.3766627311706543
1,encoder.layers.3.tra,0.3874296545982361,0.17783376574516296,0.0,0.9458552002906799,3.669661283493042
2,encoder.layers.4.tra,0.4137376546859741,0.22300536930561066,0.11697247624397278,1.2880103588104248,3.3831162452697754
3,decoder.layers.0.tra,0.31900233030319214,0.32017403841018677,0.2545871436595917,1.3468056917190552,2.9319217205047607
4,decoder.layers.1.tra,0.4719143807888031,0.27490121126174927,0.14908257126808167,1.1333144903182983,2.781745195388794
5,decoder.layers.2.tra,0.8136464357376099,0.14557547867298126,0.12958715856075287,1.6238410472869873,2.432441473007202
