config,n,pesq_mean,pesq_std,stoi,sisdr,pause_db,lsd_db,mode_b,dpesq_expected,dpesq_mode_a
base,3,2.7996974924042775,0.012225187487035973,0.9363424465813642,18.400062978196317,1.5222024204472628,10.675114400749814,0,nan,nan
base_wt0p3,3,1.8942285180574097,0.012577338371485303,nan,4.765500799539143,-1.3042596643454238,11.221146186433684,0,nan,nan
base_wt1,3,2.3357510744657333,0.03369973716710526,nan,16.311766163521725,-10.880927111696705,15.127496739011379,0,nan,nan
base_wt3,3,2.4387727805615245,0.023675201970832428,nan,18.49501515136937,-15.388307577001378,19.9464461031094,0,nan,nan
h1,3,2.8156171188867596,0.007352049976311373,0.9375742341628075,18.477028866600616,0.9827987814347342,11.10031306418261,0,0.015919626482482095,nan
h1_wt0p3,3,2.520355633450943,0.5213679495428136,0.9215982224745579,13.971684064648391,0.8821039364422831,11.019431313365672,0,0.6261271153935337,nan
h1_wt1,3,2.625821369703148,0.26245516436074445,nan,17.87391828766435,-3.1660948252965535,12.161472315317518,0,0.2900702952374146,nan
h1_wt3,3,2.642489085835932,0.17254587579807512,nan,18.489140950282035,-3.365793088282586,14.313325040624795,0,0.20371630527440784,nan
official,1,2.8557513308467217,0.0,0.9405479471267081,18.79644692673472,0.9160432487664638,10.364331046254392,0,nan,nan
