block,name,gate_mean,gate_std,gate_sat,temp_0,attn_entropy_0
0,encoder.layers.2.tra,0.3653489947319031,0.14091326296329498,0.0034403670579195023,1.2575401067733765,3.5172510147094727
1,encoder.layers.3.tra,0.3893972933292389,0.16586314141750336,0.02178899012506008,1.5204155445098877,3.4026846885681152
2,encoder.layers.4.tra,0.4547049105167389,0.1517232060432434,0.0,1.6175848245620728,3.110136032104492
3,decoder.layers.0.tra,0.49000284075737,0.3667374849319458,0.26146790385246277,1.0938056707382202,2.7551376819610596
4,decoder.layers.1.tra,0.7857533097267151,0.17025306820869446,0.24655963480472565,1.5926754474639893,2.8679261207580566
5,decoder.layers.2.tra,0.9230632781982422,0.09991075098514557,0.6146789193153381,1.1109569072723389,3.5946364402770996
